year,country,cluster,pop,life_expect,fertility
1985,Spain,B,38534853,76.9,1.48
1990,Spain,B,39350769,77.57,1.27
1995,Spain,B,39749715,78.77,1.182
2000,Spain,B,40016081,79.78,1.287
2005,Spain,B,40341462,80.941,1.409
1955,Switzerland,B,4980000,70.56,2.34
1960,Switzerland,B,5362000,71.32,2.51
1965,Switzerland,B,5943000,72.77,2.27
1970,Switzerland,B,6267000,73.78,1.82
1975,Switzerland,B,6403500,75.39,1.53
1980,Switzerland,B,6385229,76.21,1.53
1985,Switzerland,B,6563770,77.41,1.53
1990,Switzerland,B,6836626,78.03,1.54
1995,Switzerland,B,7157106,79.37,1.47
2000,Switzerland,B,7266920,80.62,1.415
2005,Switzerland,B,7489370,81.701,1.42
1955,Turkey,B,24144571,48.079,6.6
1960,Turkey,B,28217122,52.098,6.19
1965,Turkey,B,31950718,54.336,5.7
1970,Turkey,B,35758382,57.005,5.3
1975,Turkey,B,40529798,59.507,4.715
1980,Turkey,B,45120802,61.036,4.15
1985,Turkey,B,50669003,63.108,3.276
1990,Turkey,B,56084632,66.146,2.904
1995,Turkey,B,61188984,68.835,2.574
2000,Turkey,B,65666677,70.845,2.23
2005,Turkey,B,69660559,71.777,2.143
1955,United Kingdom,B,50946000,70.42,2.49
1960,United Kingdom,B,52372000,70.76,2.81
1965,United Kingdom,B,54350000,71.36,2.52
1970,United Kingdom,B,55632000,72.01,2.04
1975,United Kingdom,B,56215000,72.76,1.72
1980,United Kingdom,B,56314000,74.04,1.8
1985,United Kingdom,B,56620240,75.007,1.81
1990,United Kingdom,B,57493307,76.42,1.78
1995,United Kingdom,B,58426014,77.218,1.7
2000,United Kingdom,B,59522468,78.471,1.695
2005,United Kingdom,B,60441457,79.425,1.815
1955,United States,D,165931000,69.49,3.706
1960,United States,D,180671000,70.21,3.314
1965,United States,D,194303000,70.76,2.545
1970,United States,D,205052000,71.34,2.016
1975,United States,D,215973000,73.38,1.788
1980,United States,D,227726463,74.65,1.825
1985,United States,D,238466283,75.02,1.924
1990,United States,D,250131894,76.09,2.025
1995,United States,D,266557091,76.81,1.994
2000,United States,D,282338631,77.31,2.038
2005,United States,D,295734134,78.242,2.054
1955,Venezuela,D,6170497,57.907,6.4585
1960,Venezuela,D,7556483,60.77,6.657
1965,Venezuela,D,9067735,63.479,5.9045
1970,Venezuela,D,10758017,65.712,4.941
1975,Venezuela,D,12674987,67.456,4.4685
1980,Venezuela,D,14767890,68.557,3.957
1985,Venezuela,D,16997509,70.19,3.6485
1990,Venezuela,D,19325222,71.15,3.25
1995,Venezuela,D,21555902,72.146,2.9415
2000,Venezuela,D,23542649,72.766,2.723
2005,Venezuela,D,25375281,73.747,2.547
